Heading,Company Name,Location,Products & Annual Capacity,Country,Authorised Capital,Foreign Equity (%)
Tourism,Restaurant,Kathmandu,Restaurant,France,5,100
Tourism,Restaurant,Kaski,Restaurant 40 Seats,Cambodia,5,100
Tourism,Restaurant,Kathmandu,Restaurant 200 Seats.,China,20,100
Tourism,Restaurant,Kathmandu,Restaurant 60seats.,S. Korea,5,100
Tourism,Restaurant,Kaski,Restaurant 52 Seats,Netherland,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel With Restaurant 40beds,China,35,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 34beds  Restaurant 70 Seats,China,15,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 40 Beds Restaurant 150seats,Belgium,35,100
Tourism,Cable Car,Bhaktapur,Cable Car Visitors, India,50.0,50.0
Tourism,Hotel With Restaurant,Kaski,Hotel 10 34 Beds  Restaurant 40 Seats,Germany,19.8,90
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds  Restaurant 50seats,S. Korea,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 48beds Restaurant 250seats,China,150,87.5
Tourism,Restaurant,Kaski,Restaurant 60 Seats,Australia,5,100
Tourism,Hotel Himalaya View Sarangkot Pvt. Ltd.,Kaski,Hotel 90bed  Restaurant 160 Seat,Japan,300,40
Tourism,Metro Eco Hotel Pvt. Ltd.,Kathmandu,Hotel 30bed  Restaurant 60seats,USA,11.3,50
